match_name,Symbol
,IMOS
,INDI
,LC
sabre,SABR
digi international,DGII
,EASEMYTRIP.NS
,SGH
,NXU.DE
,DESP
simulations plus,SLP
gbg,GBG.L
,NN
,MASTEK.NS
,EQS.PA
,PSFE
,XFAB.PA
,RSKD
,HIMX
,NVTS
,KARO
,WPL.WA
,3765.T
,KIND
,ATS.VI
allscripts,MDRX
,CBRAIN.CO
fiverr inc,FVRR
grid dynamics,GDYN
snap one,SNPO
,TTGT
proto labs,PRLB
,HUT
conduent,CNDT
,OLO
,YALA
,PGY
,BUKA.JK
,RDFN
,ML
,TOM2.AS
,1686.HK
,THRY
,WKME
,098460.KQ
,IIIV
,IREN
,LAZR
,WULF
,MSTCLTD.NS
,EMUDHRA.NS
,YEXT
,BTDR
,UBXN.SW
,HKD
stratasys,SSYS
lendingtree,TREE
,ASTS
,BITF
,HSAI
,VMEO
mitek systems,MITK
,EXAI
,AOSL
,PERI
,TIGR
,CORZ
,BLND
,LASR
,MGIC
weave,WEAV
,SMWB
,ABSI
,NAZARA.NS
,TXT.WA
,DAVE
varitronix,0710.HK
,LWSA3.SA
,PWFL
,NNDM
,JMIA
,LQDT
,DSP
,TALK
,ITRN
,CGNT
,DDI
,CHGG
,SCWX
,CINT
,3632.T
,LFMD
,ALNT
,3668.T
,SMRT
,PLW.WA
,XPER
,LWLG
ceva,CEVA
3d systems,DDD
digimarc,DMRC
,SKYT
,TM17.L
,ICG
,LAW
,BIGC
,QD
,GRVY
,NRDY
onespan,OSPN
,DAO
hipp,HIPO
,REAL
,OUST
,CIGNITITEC.NS
nucleus software exports,NUCLEUS.NS
,CTLP
groupon,GRPN
,CRNC
,THNC.TO
rackspace technology,RXT
,AVALON.NS
,APLD
,ZH
,GDEV
,VOLUE.OL
,BLZE
sohu com,SOHU
,MYTE
,PSAN.DE
,BBAI
unisys,UIS
,AIP
,FRGE
,069080.KQ
netgear,NTGR
faro technologies,FARO
,11B.WA
,NWO.F
,078340.KQ
audiocodes,AUDC
microvision,MVIS
,BRN.AX
porch group,PRCH
aehr test systems,AEHR
american software,AMSWA
,095660.KQ
,SOPH
,NEGG
,MIXT
materialise,MTLS
,3694.T
,MYPS
,TGAN
,QUICKHEAL.NS
,TRAK
,ADTH
,DOMO
,ACCELYA.NS
,SPOK
,ONTF
8x8,EGHT
,LSAK
,PEXIP.OL
spire,SPIR
telos corporation,TLS
,BTBT
,SFIX
ceragon networks,CRNT
,TRUE
,CAN
,7844.T
,LGCL
,VLN
agora,API
,RDVT
,PRTH
,FOBK.F
,CCSI
,PAYS
,RGTI
,ME
,FAA.DE
,QBTS
,PERF
,HIVE
,STEM
,RMNI
,MNDR
,MOND
,BARK
,OB
,APPS
,2497.T
,7201.SR
,INVZ
wm,MAPS
quicklogic,QUIK
,TDUP
iteris,ITI
tucows,TCX
egain,EGAN
,SST
,MX
,OPRX
compugen isreal,CGEN
,3793.T
,BKSY
,ALAR
,ASUR
,KLTR
geospace technologies,GEOS
,AEVA
,RMBL
trivago,TRVG
,SSTI
,AMWL
,TIO
,REKR
,BZUN
,4165.T
,VCSA
,AISP
,EXFY
,SYZ.TO
,PCF.WA
,DIB.MI
matric,MYNA
,SJJ.DE
,ZFOX
lantronix,LTRX
,ALLD3.SA
ehealth,EHTH
,ARBE
,4434.T
,MRAM
compro systems,CPSI
,VERI
,FDEV.L
,SKLZ
,WISH
,3546.TWO
,HUBC
,CMCM
,MKFG
,INVE
,TROO
,STIX
,ATOM
pixelworks,PXLW
,NACON.PA
,MRX.F
,XNET
silicom,SILC
,POET
,GNSS
,YI
,KLR
,3903.T
,OCFT
,IH
,PET
,AIXI
,BMR
,PETS
,UPLD
appen,APX.AX
,RCAT
,RR
,ALLT
,DOMA
,VUZI
,SYT
,FORA
,AUID
natural health trends,NHTC
,ARBK
,CXAI
,CASH3.SA
,SURG
,SWVL
,3IINFOLTD.NS
,ARQQ
,QUBT
,SNCR
,LTCH
,PRTS
,CI7.F
,VLD
,KORE
,WFCF
intellicheck,IDN
,STRC
,3656.T
,KPLT
,FLN.AX
,ALFOC.PA
,BTH.AX
comtech telecommunications,CMTL
skillsoft,SKIL
,TSP
,GRYP
atari,ALATA.PA
,PHUN
,EGIO
,ONDS
liveperson,LPSN
transact technologies,TACT
,GRRR
,SATX
,CPTN
,VIOT
,CZOO
,NCTY
,QMCO
,BKKT
,SDIG
,NA
usio,USIO
,AIRE
,3851.T
,7060.T
,SJ
,4728.T
sequans communications,SQNS
,AKLI
,3912.T
,GFAI
,STAR-B.ST
,BTCM
,4174.T
,3667.T
,HRYU
,GMM
2u,TWOU
,ULY
,MRAI
,GREE
smith micro,SMSI
,EKSO
,DUOT
,9421.T
,APCX
,SOS
,VRAR
,RBT
streamline health,STRM
,STBX
,3907.T
,FCUV
,ANY
,ATER
,4199.T
,RVSN
,PRST
,VIAO
,ALWIT.PA
,PT
,XELA
,FRSX
,YJ
,CISO
,WETG
,CTM
,AHI
seachange,SEAC
,SVRE
,MINM
,VERB
,SPPL
,JUMPNET.NS
,CYN
,ELWS
,AGIL
,INPX
,SHPW
,WATT
,JTAI
,BLBX
,RWLK
,IDAI
,SCKT
,LIDR
,MF
,UAVS
marin software,MRIN
,PIK
,OLB
,IMTE
calamp,CAMP
,AFN.L
,LOV
,MOB
,UPH
,GROM
,TGL
,MARK
,ZOMD.V
,SGN
,LCFY
,VS
,ONFO
,BKYI
,NCPL
,OBLG
,GMVD
,FRGT
,TRIRF
,MVLA
,SLGG
,CETX
,BBIG
,OGBLY
,OZON.ME
tibco software,TIBX
epicor software,EPIC
sonata software,SONATSOFTW.NS
quest software,QSFT
cognizant technology solutions,CTSH
hcltech,HCLTECH.NS
tech mahindra,TECHM.NS
dxc technology,DXC
raytheon technologies,RTX
hexaware technologies,HEXT.NS
zensar technologies,ZENSARTECH.NS
kpit technologies,KPITTECH.NS
accenture,ACN
infosys,INFY.NS
wipro,WIPRO.NS
